Family_Income,Scholarship,Education_Loan,Father_Occupation,Mother_Occupation,Parent_Education,Home_Location,HighSchool_Grade,Admission_Quota,Dropout,Batch
18000,Yes,No,Daily Wage Worker,Nurse,Postgraduate,Semi-Urban,52.3,Merit,1,2022
8000,No,Yes,Driver,Teacher,Primary School,Rural,71.3,Management,1,2021
12000,Yes,No,Shopkeeper,Daily Wage Worker,Postgraduate,Urban,84.8,Merit,0,2022
35000,Yes,Yes,Doctor,Homemaker,Graduate,Rural,63.2,OBC,0,2023
8000,No,No,Teacher,Teacher,Graduate,Rural,92.9,Sports,1,2021
35000,No,Yes,Farmer,Daily Wage Worker,Primary School,Rural,78.4,OBC,1,2023
18000,No,Yes,Daily Wage Worker,Government Job,Graduate,Urban,46.9,SC/ST,1,2022
12000,Yes,No,Daily Wage Worker,Government Job,Primary School,Rural,97.6,Management,1,2023
12000,No,No,Farmer,Government Job,Postgraduate,Rural,82.7,NRI,1,2021
60000,Yes,Yes,Farmer,Teacher,HighSchool,Rural,53.9,SC/ST,1,2023
18000,Yes,Yes,Factory Worker,Homemaker,Diploma,Urban,58.3,Merit,0,2023
45000,No,No,Factory Worker,Farmer,Graduate,Semi-Urban,67.8,OBC,1,2021
18000,Yes,No,Factory Worker,Shopkeeper,No Formal Education,Urban,41.3,Sports,1,2022
5000,No,Yes,Small Business,Daily Wage Worker,Diploma,Urban,92.8,Sports,0,2022
18000,No,Yes,Government Job,Homemaker,Graduate,Urban,44.7,Management,1,2024
25000,No,No,Government Job,Factory Worker,HighSchool,Rural,50.1,Management,1,2023
18000,Yes,No,Farmer,Factory Worker,Primary School,Urban,71.6,Management,1,2023
45000,No,No,Engineer,Daily Wage Worker,Diploma,Semi-Urban,87.0,Merit,0,2021
75000,Yes,Yes,Doctor,Government Job,Diploma,Semi-Urban,95.4,SC/ST,0,2021
45000,No,Yes,Small Business,Shopkeeper,Diploma,Semi-Urban,46.8,Merit,1,2024
25000,Yes,No,Small Business,Government Job,HighSchool,Urban,40.9,Merit,1,2024
25000,Yes,No,Engineer,Farmer,Diploma,Urban,81.2,SC/ST,0,2024
35000,Yes,No,Daily Wage Worker,Shopkeeper,HighSchool,Urban,56.0,Merit,0,2024
12000,No,No,Doctor,Teacher,HighSchool,Semi-Urban,47.8,Sports,1,2024
45000,No,Yes,Government Job,Farmer,Diploma,Rural,40.3,Merit,1,2021
60000,No,Yes,Factory Worker,Farmer,Diploma,Urban,96.9,Merit,0,2022
12000,No,No,Factory Worker,Homemaker,Diploma,Rural,83.3,OBC,1,2022
75000,Yes,No,Government Job,Farmer,No Formal Education,Semi-Urban,60.3,SC/ST,0,2021
60000,No,No,Government Job,Nurse,Graduate,Rural,75.3,Management,0,2024
18000,No,Yes,Doctor,Factory Worker,No Formal Education,Rural,92.5,Management,1,2024
75000,Yes,No,Daily Wage Worker,Factory Worker,HighSchool,Semi-Urban,93.8,SC/ST,0,2021
8000,No,No,Farmer,Homemaker,Graduate,Urban,71.6,SC/ST,1,2024
3000,Yes,Yes,Farmer,Government Job,Postgraduate,Urban,95.4,OBC,0,2024
12000,No,No,Small Business,Homemaker,Postgraduate,Urban,84.7,Management,1,2021
25000,No,Yes,Doctor,Homemaker,Graduate,Semi-Urban,72.3,OBC,0,2021
18000,Yes,No,Small Business,Factory Worker,HighSchool,Rural,62.5,Merit,0,2024
75000,No,No,Doctor,Daily Wage Worker,Graduate,Semi-Urban,95.3,Merit,0,2022
12000,Yes,Yes,Teacher,Homemaker,Graduate,Rural,51.5,SC/ST,1,2024
12000,No,Yes,Teacher,Factory Worker,Postgraduate,Semi-Urban,72.1,OBC,0,2023
35000,No,Yes,Doctor,Government Job,Diploma,Urban,47.8,Merit,0,2023
3000,No,No,Doctor,Homemaker,Diploma,Semi-Urban,47.9,Management,1,2021
45000,No,No,Engineer,Teacher,No Formal Education,Rural,43.5,SC/ST,1,2023
18000,Yes,No,Engineer,Homemaker,HighSchool,Urban,58.3,Merit,0,2024
100000,No,No,Factory Worker,Nurse,Graduate,Rural,87.1,Sports,0,2022
35000,Yes,No,Engineer,Factory Worker,Postgraduate,Rural,50.9,Merit,0,2023
5000,Yes,No,Government Job,Government Job,Diploma,Urban,89.1,SC/ST,0,2022
5000,No,No,Shopkeeper,Farmer,No Formal Education,Rural,98.6,OBC,1,2024
5000,Yes,No,Shopkeeper,Teacher,Diploma,Semi-Urban,71.0,Merit,0,2023
75000,No,No,Driver,Government Job,Primary School,Urban,86.5,Management,0,2021
35000,Yes,No,Driver,Daily Wage Worker,Postgraduate,Rural,79.4,SC/ST,1,2021
18000,No,Yes,Government Job,Homemaker,Primary School,Semi-Urban,67.1,SC/ST,1,2021
8000,Yes,Yes,Shopkeeper,Daily Wage Worker,Primary School,Semi-Urban,56.8,OBC,1,2022
60000,No,No,Teacher,Shopkeeper,Diploma,Semi-Urban,79.6,Merit,0,2022
8000,No,No,Driver,Homemaker,Diploma,Urban,53.6,Merit,1,2023
35000,No,Yes,Daily Wage Worker,Farmer,Graduate,Urban,61.7,Management,1,2023
45000,No,No,Farmer,Factory Worker,HighSchool,Rural,49.1,SC/ST,1,2023
12000,Yes,Yes,Daily Wage Worker,Teacher,Postgraduate,Semi-Urban,74.1,Merit,0,2022
25000,No,No,Shopkeeper,Teacher,Graduate,Rural,49.7,Merit,1,2023
12000,Yes,Yes,Government Job,Daily Wage Worker,No Formal Education,Rural,87.3,Merit,0,2021
18000,No,No,Daily Wage Worker,Government Job,No Formal Education,Rural,68.1,Merit,1,2024
100000,No,Yes,Factory Worker,Factory Worker,Diploma,Rural,82.1,Management,1,2021
35000,No,No,Factory Worker,Government Job,Diploma,Semi-Urban,66.8,NRI,1,2024
60000,No,No,Shopkeeper,Farmer,Diploma,Semi-Urban,85.7,Merit,0,2022
25000,Yes,No,Doctor,Teacher,No Formal Education,Semi-Urban,92.2,Merit,0,2022
12000,No,No,Teacher,Government Job,No Formal Education,Urban,67.6,SC/ST,1,2021
35000,Yes,Yes,Teacher,Government Job,Primary School,Urban,61.8,Sports,0,2022
25000,No,No,Factory Worker,Factory Worker,Graduate,Urban,82.4,Sports,1,2021
8000,No,No,Doctor,Government Job,Graduate,Rural,97.0,OBC,0,2022
18000,No,No,Daily Wage Worker,Shopkeeper,Primary School,Rural,50.4,SC/ST,1,2022
35000,Yes,No,Farmer,Farmer,Diploma,Rural,84.0,SC/ST,1,2023
45000,No,Yes,Shopkeeper,Factory Worker,Postgraduate,Rural,40.2,SC/ST,1,2023
12000,Yes,Yes,Daily Wage Worker,Factory Worker,Primary School,Urban,97.9,Merit,1,2024
60000,No,No,Daily Wage Worker,Homemaker,HighSchool,Semi-Urban,87.0,Merit,1,2024
18000,No,No,Driver,Homemaker,Diploma,Semi-Urban,95.8,SC/ST,1,2024
12000,Yes,Yes,Shopkeeper,Government Job,HighSchool,Semi-Urban,46.3,NRI,1,2021
8000,Yes,No,Engineer,Teacher,Primary School,Semi-Urban,43.0,SC/ST,1,2022
45000,Yes,Yes,Farmer,Nurse,Postgraduate,Urban,65.8,Sports,0,2022
18000,No,No,Doctor,Government Job,Graduate,Rural,43.5,Merit,0,2022
25000,Yes,No,Daily Wage Worker,Government Job,Graduate,Urban,43.2,OBC,1,2023
12000,No,No,Government Job,Homemaker,Postgraduate,Semi-Urban,45.4,Management,0,2021
35000,Yes,No,Doctor,Teacher,HighSchool,Rural,43.6,Merit,0,2024
45000,No,Yes,Driver,Shopkeeper,Postgraduate,Semi-Urban,45.8,Merit,1,2023
12000,Yes,No,Farmer,Nurse,Postgraduate,Semi-Urban,61.6,Sports,0,2021
75000,No,Yes,Teacher,Daily Wage Worker,Graduate,Rural,69.6,Sports,0,2022
3000,Yes,No,Daily Wage Worker,Shopkeeper,Postgraduate,Rural,46.1,Merit,1,2024
8000,Yes,Yes,Engineer,Shopkeeper,Graduate,Semi-Urban,77.8,NRI,0,2023
25000,Yes,No,Teacher,Teacher,HighSchool,Urban,75.9,Merit,0,2022
35000,No,No,Daily Wage Worker,Factory Worker,HighSchool,Semi-Urban,57.4,OBC,1,2024
12000,No,No,Factory Worker,Government Job,Graduate,Rural,57.9,OBC,1,2023
25000,Yes,No,Shopkeeper,Teacher,Diploma,Semi-Urban,98.1,Merit,0,2021
12000,Yes,No,Small Business,Nurse,Diploma,Urban,57.7,Management,0,2022
25000,Yes,No,Factory Worker,Daily Wage Worker,No Formal Education,Urban,93.4,Management,1,2024
35000,No,No,Doctor,Nurse,No Formal Education,Rural,52.0,OBC,1,2023
100000,No,No,Shopkeeper,Nurse,Primary School,Rural,50.6,SC/ST,1,2023
18000,No,No,Doctor,Government Job,Diploma,Semi-Urban,90.8,Management,0,2023
35000,Yes,Yes,Driver,Daily Wage Worker,No Formal Education,Rural,75.8,SC/ST,1,2022
25000,No,Yes,Farmer,Teacher,Primary School,Urban,85.2,Merit,1,2023
12000,No,Yes,Small Business,Daily Wage Worker,Postgraduate,Rural,74.0,NRI,1,2021
12000,Yes,Yes,Engineer,Homemaker,Diploma,Rural,97.4,NRI,0,2024
100000,No,Yes,Shopkeeper,Factory Worker,Postgraduate,Urban,41.7,SC/ST,0,2021
8000,Yes,No,Teacher,Farmer,HighSchool,Rural,48.9,Merit,0,2024
45000,No,No,Small Business,Shopkeeper,HighSchool,Rural,46.6,OBC,1,2024
8000,No,No,Driver,Farmer,Graduate,Urban,79.6,OBC,1,2022
45000,No,No,Teacher,Nurse,Postgraduate,Rural,58.5,Management,0,2024
8000,No,Yes,Engineer,Shopkeeper,Graduate,Semi-Urban,86.4,SC/ST,1,2021
100000,Yes,Yes,Government Job,Nurse,Postgraduate,Semi-Urban,47.3,Merit,0,2021
35000,No,Yes,Teacher,Shopkeeper,No Formal Education,Rural,53.6,Merit,1,2021
5000,No,Yes,Driver,Shopkeeper,HighSchool,Rural,43.9,Management,1,2024
35000,No,Yes,Doctor,Daily Wage Worker,Postgraduate,Rural,98.6,Merit,0,2022
35000,Yes,No,Driver,Shopkeeper,Diploma,Semi-Urban,82.3,SC/ST,0,2024
12000,Yes,No,Factory Worker,Government Job,HighSchool,Urban,46.4,Management,1,2023
12000,No,Yes,Daily Wage Worker,Daily Wage Worker,HighSchool,Urban,78.2,Merit,1,2022
35000,No,Yes,Factory Worker,Government Job,Graduate,Urban,65.9,NRI,0,2021
45000,No,No,Doctor,Farmer,Primary School,Semi-Urban,94.1,Management,0,2023
12000,Yes,No,Doctor,Government Job,Diploma,Urban,47.9,Sports,0,2023
60000,No,Yes,Teacher,Government Job,HighSchool,Semi-Urban,41.6,SC/ST,1,2021
12000,No,Yes,Daily Wage Worker,Daily Wage Worker,HighSchool,Urban,49.1,SC/ST,1,2023
5000,Yes,No,Shopkeeper,Farmer,Diploma,Semi-Urban,95.3,Merit,0,2024
25000,No,Yes,Driver,Homemaker,Primary School,Semi-Urban,94.8,Management,1,2021
5000,Yes,No,Shopkeeper,Farmer,Graduate,Rural,44.0,OBC,0,2023
12000,No,Yes,Teacher,Factory Worker,HighSchool,Urban,70.9,Management,1,2022
25000,Yes,Yes,Small Business,Daily Wage Worker,Graduate,Rural,80.4,SC/ST,0,2021
12000,No,Yes,Teacher,Shopkeeper,Diploma,Urban,40.3,Management,1,2021
12000,No,Yes,Small Business,Shopkeeper,HighSchool,Urban,41.0,SC/ST,1,2024
35000,No,Yes,Doctor,Farmer,Graduate,Rural,43.9,Merit,1,2021
25000,No,No,Driver,Teacher,Diploma,Semi-Urban,81.6,Merit,0,2022
60000,Yes,Yes,Farmer,Nurse,Primary School,Urban,95.5,Sports,0,2022
25000,No,No,Engineer,Homemaker,HighSchool,Rural,44.0,Sports,1,2024
25000,No,No,Engineer,Farmer,Diploma,Urban,48.5,Management,1,2022
12000,Yes,Yes,Shopkeeper,Farmer,Primary School,Rural,67.6,OBC,1,2024
45000,No,No,Doctor,Daily Wage Worker,Graduate,Semi-Urban,66.1,Management,1,2021
8000,Yes,No,Government Job,Daily Wage Worker,HighSchool,Urban,52.5,NRI,1,2024
12000,Yes,No,Government Job,Homemaker,HighSchool,Semi-Urban,51.8,OBC,0,2022
60000,No,No,Government Job,Farmer,No Formal Education,Semi-Urban,48.2,Merit,0,2021
45000,Yes,No,Farmer,Shopkeeper,Primary School,Urban,54.8,SC/ST,1,2021
35000,Yes,Yes,Factory Worker,Teacher,HighSchool,Rural,89.6,NRI,1,2023
3000,Yes,No,Factory Worker,Shopkeeper,HighSchool,Rural,67.0,Merit,1,2023
8000,No,Yes,Farmer,Shopkeeper,Primary School,Semi-Urban,94.1,OBC,1,2023
25000,No,No,Engineer,Homemaker,Diploma,Urban,89.7,SC/ST,0,2023
45000,Yes,No,Factory Worker,Government Job,HighSchool,Urban,71.2,SC/ST,0,2023
18000,Yes,No,Factory Worker,Shopkeeper,Postgraduate,Semi-Urban,88.6,Management,0,2022
3000,No,No,Daily Wage Worker,Shopkeeper,Graduate,Rural,49.7,Merit,1,2024
8000,No,Yes,Daily Wage Worker,Daily Wage Worker,Graduate,Rural,77.8,NRI,1,2021
25000,Yes,Yes,Daily Wage Worker,Factory Worker,Diploma,Rural,95.5,OBC,1,2021
35000,Yes,No,Doctor,Homemaker,HighSchool,Urban,76.6,SC/ST,0,2021
3000,Yes,No,Shopkeeper,Farmer,Diploma,Semi-Urban,69.0,Merit,0,2023
5000,Yes,Yes,Daily Wage Worker,Factory Worker,Diploma,Urban,78.7,OBC,0,2023
12000,No,No,Factory Worker,Farmer,Graduate,Rural,48.1,OBC,1,2024
5000,Yes,No,Factory Worker,Shopkeeper,Postgraduate,Semi-Urban,57.4,NRI,0,2021
25000,No,No,Shopkeeper,Daily Wage Worker,HighSchool,Rural,54.9,Management,1,2023
8000,No,Yes,Doctor,Teacher,Primary School,Urban,47.0,NRI,1,2022
35000,No,No,Shopkeeper,Shopkeeper,Graduate,Rural,81.8,Merit,0,2024
45000,Yes,Yes,Engineer,Homemaker,No Formal Education,Rural,77.4,Merit,0,2023
100000,No,No,Small Business,Nurse,Graduate,Rural,91.5,OBC,0,2023
75000,No,No,Shopkeeper,Factory Worker,Graduate,Rural,81.2,Sports,0,2022
12000,No,Yes,Doctor,Nurse,Graduate,Rural,87.9,SC/ST,1,2023
3000,No,No,Government Job,Factory Worker,Primary School,Urban,48.2,Merit,1,2021
12000,No,No,Teacher,Government Job,HighSchool,Urban,43.9,Merit,1,2024
35000,No,No,Engineer,Teacher,Diploma,Semi-Urban,61.9,Management,0,2023
5000,No,Yes,Factory Worker,Homemaker,HighSchool,Urban,47.7,Management,1,2023
18000,No,No,Factory Worker,Government Job,Postgraduate,Semi-Urban,85.3,Management,1,2024
12000,Yes,No,Daily Wage Worker,Homemaker,Diploma,Urban,65.6,SC/ST,1,2021
12000,Yes,No,Doctor,Nurse,Diploma,Rural,95.4,Merit,0,2021
35000,Yes,No,Driver,Farmer,HighSchool,Semi-Urban,45.2,Management,1,2023
35000,No,No,Teacher,Homemaker,Graduate,Rural,95.8,Sports,1,2022
25000,No,No,Factory Worker,Shopkeeper,HighSchool,Urban,82.9,SC/ST,1,2023
75000,No,No,Shopkeeper,Shopkeeper,Diploma,Rural,87.4,NRI,0,2022
5000,Yes,No,Government Job,Teacher,HighSchool,Rural,69.1,Merit,0,2022
8000,No,Yes,Teacher,Daily Wage Worker,Graduate,Rural,61.5,Sports,1,2021
18000,No,Yes,Daily Wage Worker,Nurse,Graduate,Semi-Urban,82.7,NRI,1,2023
35000,Yes,Yes,Farmer,Daily Wage Worker,No Formal Education,Semi-Urban,97.8,Management,1,2023
25000,Yes,No,Teacher,Homemaker,HighSchool,Semi-Urban,41.5,NRI,0,2023
5000,No,No,Small Business,Shopkeeper,Graduate,Urban,75.2,Merit,0,2022
75000,Yes,Yes,Factory Worker,Homemaker,Graduate,Urban,54.6,Sports,0,2022
12000,No,No,Driver,Teacher,HighSchool,Semi-Urban,63.6,Merit,1,2022
18000,No,Yes,Driver,Homemaker,HighSchool,Semi-Urban,73.9,SC/ST,1,2023
35000,No,No,Daily Wage Worker,Shopkeeper,Graduate,Urban,52.8,OBC,1,2021
75000,Yes,No,Government Job,Daily Wage Worker,Diploma,Semi-Urban,40.6,Management,0,2021
35000,No,Yes,Doctor,Teacher,Diploma,Rural,44.1,Sports,1,2022
75000,Yes,No,Daily Wage Worker,Government Job,No Formal Education,Semi-Urban,41.5,Merit,1,2023
8000,No,No,Shopkeeper,Government Job,Graduate,Semi-Urban,42.7,OBC,1,2024
35000,Yes,Yes,Shopkeeper,Nurse,HighSchool,Urban,49.7,SC/ST,1,2021
60000,Yes,No,Factory Worker,Factory Worker,Graduate,Rural,66.2,Merit,1,2024
25000,Yes,No,Small Business,Shopkeeper,Graduate,Semi-Urban,66.7,Merit,0,2021
18000,Yes,No,Farmer,Government Job,Diploma,Semi-Urban,40.7,Merit,1,2021
100000,Yes,No,Driver,Shopkeeper,HighSchool,Urban,41.6,SC/ST,0,2021
8000,Yes,No,Factory Worker,Shopkeeper,HighSchool,Rural,54.9,Management,1,2023
18000,No,Yes,Shopkeeper,Homemaker,Graduate,Urban,42.9,Merit,1,2022
60000,Yes,Yes,Government Job,Government Job,Postgraduate,Rural,52.1,Merit,0,2022
75000,No,No,Farmer,Nurse,Postgraduate,Rural,42.1,Merit,0,2022
100000,No,Yes,Shopkeeper,Farmer,Graduate,Urban,45.1,Merit,0,2023
60000,No,Yes,Farmer,Homemaker,Graduate,Rural,79.0,Merit,1,2023
5000,No,No,Doctor,Nurse,Postgraduate,Rural,47.9,Merit,0,2024
75000,Yes,No,Engineer,Homemaker,Diploma,Urban,66.3,SC/ST,0,2022
18000,No,No,Doctor,Homemaker,Postgraduate,Semi-Urban,87.7,Merit,0,2021
35000,No,No,Engineer,Homemaker,Diploma,Urban,43.4,Merit,0,2024
18000,Yes,Yes,Daily Wage Worker,Homemaker,Graduate,Rural,55.9,Management,1,2023
45000,Yes,Yes,Teacher,Homemaker,HighSchool,Rural,76.9,Merit,0,2022
25000,No,Yes,Small Business,Shopkeeper,Diploma,Rural,50.2,Management,1,2021
60000,Yes,No,Farmer,Factory Worker,HighSchool,Rural,70.7,SC/ST,1,2022
8000,No,No,Engineer,Farmer,HighSchool,Semi-Urban,80.9,Merit,0,2022
8000,No,No,Small Business,Nurse,Graduate,Urban,96.0,Management,0,2021
18000,Yes,No,Factory Worker,Homemaker,Postgraduate,Rural,97.5,Merit,0,2022
3000,Yes,No,Government Job,Factory Worker,Graduate,Urban,49.6,OBC,0,2023
35000,Yes,No,Doctor,Shopkeeper,HighSchool,Semi-Urban,91.7,Merit,0,2021
12000,No,Yes,Engineer,Homemaker,Graduate,Rural,43.1,Sports,1,2021
25000,No,No,Driver,Nurse,Diploma,Rural,66.6,Management,1,2021
5000,No,No,Farmer,Nurse,HighSchool,Semi-Urban,67.7,NRI,1,2024
8000,Yes,No,Daily Wage Worker,Government Job,Postgraduate,Rural,45.0,Merit,1,2023
35000,No,Yes,Driver,Nurse,HighSchool,Semi-Urban,58.6,NRI,1,2022
12000,No,No,Government Job,Nurse,Graduate,Semi-Urban,85.9,Merit,0,2021
12000,No,No,Factory Worker,Shopkeeper,HighSchool,Rural,52.6,Merit,1,2023
12000,Yes,No,Doctor,Teacher,Postgraduate,Rural,76.8,OBC,0,2023
12000,No,No,Factory Worker,Factory Worker,Graduate,Urban,96.8,Merit,0,2022
35000,Yes,No,Teacher,Shopkeeper,Diploma,Semi-Urban,43.1,SC/ST,0,2023
8000,No,Yes,Small Business,Government Job,Primary School,Semi-Urban,40.9,Merit,1,2021
18000,No,No,Doctor,Farmer,HighSchool,Rural,55.7,Merit,1,2022
35000,No,No,Government Job,Daily Wage Worker,HighSchool,Urban,45.7,Merit,0,2023
25000,No,No,Government Job,Factory Worker,Graduate,Semi-Urban,45.0,SC/ST,1,2023
25000,Yes,No,Doctor,Nurse,Graduate,Urban,64.3,OBC,0,2024
12000,Yes,Yes,Daily Wage Worker,Nurse,HighSchool,Urban,78.5,SC/ST,1,2022
75000,No,Yes,Daily Wage Worker,Teacher,HighSchool,Semi-Urban,83.8,SC/ST,1,2021
18000,No,No,Teacher,Teacher,HighSchool,Semi-Urban,46.4,Merit,1,2023
12000,No,No,Daily Wage Worker,Factory Worker,Graduate,Rural,73.7,Merit,1,2024
75000,Yes,No,Shopkeeper,Nurse,HighSchool,Semi-Urban,82.3,SC/ST,0,2022
35000,Yes,No,Teacher,Homemaker,Graduate,Semi-Urban,76.3,Merit,0,2024
35000,Yes,No,Driver,Farmer,Graduate,Semi-Urban,67.4,OBC,0,2024
60000,No,Yes,Engineer,Homemaker,HighSchool,Urban,66.0,OBC,0,2021
5000,No,Yes,Factory Worker,Government Job,HighSchool,Semi-Urban,86.0,Management,1,2021
60000,Yes,No,Farmer,Government Job,Diploma,Rural,53.6,Management,1,2022
35000,No,Yes,Teacher,Teacher,Postgraduate,Rural,51.0,Merit,0,2021
18000,Yes,No,Government Job,Government Job,Primary School,Rural,43.5,Merit,1,2024
12000,Yes,No,Factory Worker,Daily Wage Worker,HighSchool,Urban,63.7,Merit,1,2022
5000,Yes,No,Government Job,Nurse,Graduate,Rural,79.2,Merit,0,2024
75000,Yes,No,Factory Worker,Nurse,HighSchool,Urban,70.9,SC/ST,0,2024
8000,No,No,Driver,Farmer,HighSchool,Semi-Urban,45.0,Management,1,2024
12000,Yes,Yes,Daily Wage Worker,Government Job,Diploma,Urban,98.6,Sports,1,2022
35000,No,No,Daily Wage Worker,Shopkeeper,HighSchool,Semi-Urban,61.9,NRI,1,2023
35000,Yes,No,Government Job,Daily Wage Worker,Graduate,Urban,40.2,SC/ST,0,2023
8000,No,No,Doctor,Teacher,Postgraduate,Semi-Urban,75.7,Management,0,2022
45000,Yes,No,Driver,Shopkeeper,Postgraduate,Rural,40.4,Management,1,2022
25000,Yes,No,Engineer,Government Job,Diploma,Semi-Urban,93.2,Merit,0,2021
60000,Yes,No,Driver,Factory Worker,HighSchool,Rural,75.4,OBC,0,2022
5000,No,No,Factory Worker,Teacher,Diploma,Rural,59.4,OBC,1,2022
5000,No,No,Factory Worker,Homemaker,HighSchool,Rural,59.8,Merit,1,2023
35000,Yes,No,Shopkeeper,Farmer,Graduate,Rural,46.1,Merit,0,2021
8000,Yes,Yes,Government Job,Shopkeeper,Primary School,Semi-Urban,64.8,Merit,0,2023
25000,No,Yes,Teacher,Homemaker,HighSchool,Semi-Urban,69.6,Merit,1,2023
3000,Yes,No,Factory Worker,Factory Worker,HighSchool,Urban,49.0,Sports,0,2023
45000,Yes,Yes,Shopkeeper,Daily Wage Worker,HighSchool,Semi-Urban,80.0,SC/ST,0,2024
60000,Yes,Yes,Small Business,Factory Worker,Graduate,Urban,58.8,Merit,0,2023
60000,Yes,No,Factory Worker,Teacher,Postgraduate,Semi-Urban,44.0,Management,0,2023
75000,Yes,Yes,Small Business,Teacher,Graduate,Semi-Urban,54.6,Management,0,2024
75000,Yes,No,Shopkeeper,Daily Wage Worker,HighSchool,Semi-Urban,42.1,Merit,0,2023
18000,No,Yes,Doctor,Daily Wage Worker,Diploma,Urban,93.7,SC/ST,0,2021
18000,Yes,No,Driver,Farmer,Graduate,Rural,67.2,NRI,1,2023
60000,No,No,Doctor,Government Job,Postgraduate,Rural,96.6,OBC,0,2021
75000,Yes,Yes,Daily Wage Worker,Shopkeeper,Graduate,Urban,76.3,SC/ST,0,2021
100000,Yes,Yes,Government Job,Teacher,Primary School,Rural,42.5,SC/ST,0,2023
45000,Yes,No,Teacher,Government Job,Graduate,Rural,50.2,NRI,0,2022
8000,No,Yes,Teacher,Government Job,HighSchool,Rural,71.4,OBC,1,2024
75000,No,Yes,Doctor,Teacher,HighSchool,Rural,40.5,Merit,0,2022
75000,No,Yes,Factory Worker,Shopkeeper,Postgraduate,Rural,76.1,Management,0,2024
35000,Yes,Yes,Doctor,Government Job,Postgraduate,Rural,91.6,SC/ST,0,2024
60000,Yes,Yes,Farmer,Farmer,HighSchool,Urban,58.8,Merit,0,2023
25000,No,No,Daily Wage Worker,Farmer,Graduate,Urban,89.5,Merit,0,2022
75000,No,Yes,Small Business,Nurse,HighSchool,Rural,94.5,Merit,0,2022
5000,Yes,No,Farmer,Homemaker,No Formal Education,Rural,55.0,Merit,1,2021
60000,No,Yes,Teacher,Factory Worker,Postgraduate,Urban,67.8,Management,0,2021
5000,No,Yes,Shopkeeper,Nurse,Graduate,Semi-Urban,58.5,NRI,1,2021
12000,No,Yes,Shopkeeper,Nurse,HighSchool,Semi-Urban,56.8,Merit,1,2024
8000,Yes,No,Doctor,Nurse,Graduate,Semi-Urban,40.5,Management,0,2021
18000,Yes,No,Driver,Shopkeeper,No Formal Education,Rural,53.6,Sports,1,2023
12000,Yes,No,Teacher,Shopkeeper,Diploma,Rural,86.8,Merit,0,2024
75000,No,No,Farmer,Homemaker,Postgraduate,Semi-Urban,93.1,Merit,0,2022
25000,No,Yes,Doctor,Factory Worker,Graduate,Semi-Urban,57.3,Management,0,2021
60000,Yes,Yes,Doctor,Farmer,Graduate,Urban,42.1,Sports,0,2023
12000,Yes,Yes,Doctor,Factory Worker,HighSchool,Rural,84.3,Management,1,2023
3000,No,No,Driver,Nurse,Graduate,Rural,81.4,Management,1,2021
45000,Yes,Yes,Shopkeeper,Teacher,Postgraduate,Urban,56.7,Merit,0,2022
35000,Yes,Yes,Small Business,Teacher,HighSchool,Urban,88.0,Management,0,2024
25000,Yes,Yes,Daily Wage Worker,Farmer,No Formal Education,Rural,84.7,Merit,1,2022
45000,No,No,Teacher,Daily Wage Worker,HighSchool,Rural,45.5,Merit,0,2022
60000,No,Yes,Farmer,Shopkeeper,Diploma,Semi-Urban,68.7,Merit,1,2022
25000,No,No,Engineer,Nurse,HighSchool,Rural,49.9,OBC,1,2024
100000,Yes,No,Shopkeeper,Daily Wage Worker,Graduate,Urban,49.9,Merit,0,2024
35000,Yes,Yes,Teacher,Homemaker,HighSchool,Rural,62.1,SC/ST,1,2023
35000,No,Yes,Shopkeeper,Homemaker,Postgraduate,Rural,49.3,Sports,1,2021
18000,No,No,Daily Wage Worker,Farmer,HighSchool,Semi-Urban,89.0,OBC,1,2023
3000,No,Yes,Factory Worker,Teacher,Graduate,Urban,66.2,OBC,1,2021
12000,Yes,Yes,Government Job,Daily Wage Worker,Postgraduate,Urban,91.4,SC/ST,0,2024
45000,Yes,No,Daily Wage Worker,Factory Worker,Diploma,Semi-Urban,72.3,Management,0,2024
35000,No,No,Government Job,Shopkeeper,HighSchool,Rural,75.4,Management,1,2021
12000,Yes,No,Shopkeeper,Homemaker,Postgraduate,Semi-Urban,73.6,Merit,0,2022
35000,No,Yes,Engineer,Teacher,Diploma,Rural,50.9,SC/ST,1,2021
8000,Yes,Yes,Shopkeeper,Government Job,Diploma,Rural,48.0,Merit,1,2023
12000,Yes,No,Farmer,Government Job,No Formal Education,Rural,57.7,Merit,1,2023
75000,No,No,Teacher,Farmer,HighSchool,Rural,79.6,OBC,0,2023
18000,Yes,No,Engineer,Farmer,Diploma,Rural,91.0,Management,0,2024
12000,Yes,No,Small Business,Homemaker,Graduate,Urban,49.1,OBC,0,2024
25000,Yes,Yes,Doctor,Teacher,Postgraduate,Rural,44.9,Merit,0,2021
18000,Yes,No,Teacher,Shopkeeper,Graduate,Semi-Urban,90.0,NRI,0,2023
45000,No,No,Daily Wage Worker,Homemaker,HighSchool,Rural,61.2,Merit,1,2021
100000,Yes,No,Teacher,Shopkeeper,Diploma,Semi-Urban,54.9,Management,0,2024
25000,Yes,Yes,Government Job,Homemaker,Primary School,Semi-Urban,40.5,Merit,1,2022
25000,No,No,Driver,Shopkeeper,Primary School,Rural,51.8,OBC,1,2023
18000,Yes,No,Farmer,Homemaker,HighSchool,Urban,42.5,SC/ST,1,2024
